,ShipmentNo_,Status,Direction,Product,ShipmentType,ProductType,Oper_Year,Oper_Period,ShipmentWeek,ShipmentDay,ShipmentDate,Principal,Carrier,Incoterm,ShipperPostcode,ShipperCity,ShipperCountry,ConsigneePostcode,ConsigneeCity,ConsigneeCountry,Invoiced,Insurance,LetterOfCredit,Dangerous,Pieces,ActualWeight(kg),Volume(cbm),Charg_Weight(kg),W/M,FCLTEU,GP(EUR),WeightGroup,TrackingNumber,(Air)PortofOrigin,OriginCountry,(Air)PortofDestination,DestinationCountry,MS1Count,MS2Count,MS3Count,MS4Count,MS5Count,MS6Count
918,2100533,1,1,1,FCL,FCL,2019,201907,2019/29,00:00.0,15.07.2019,Customer 197,COSU - COSCO SHIPPING,CFR,4103,LIMASOL,CY - CYPRUS,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,770,9.53,-,10,1,109.63,-,-,SHANGHAI PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
919,2100534,1,1,2,LCL,LCL,2019,201907,2019/29,00:00.0,15.07.2019,Customer 333,CGMU - CMA CGM AND ANL (NE) LLC,FOB,52149,R.O.C.,TW - TAIWAN,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,549",3.125,-,3,0,198.62,-,-,SHANGHAI PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
920,2100535,1,0,2,LCL,LCL,2019,201907,2019/29,00:00.0,16.07.2019,Customer 684,CSS - CONSOLIDATED SHIPPING SERVICES L.L.C.,FOB,.,SHARJAH,AE - UNITED ARAB EMIRATES,5081 AE,HILVARENBEEK,NL - THE NETHERLANDS,Yes,N,N,N,-,93,1.244,-,1,0,312.55,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,ROTTERDAM,NL-NETHERLANDS,1,1,1,1,0,0
921,2100536,1,0,1,FCL,FCL,2019,201907,2019/28,00:00.0,10.07.2019,Customer 140,HLCU - HAPAG-LLOYD AGENCY L.L.C,EXW,263120,DUBAI,AE - UNITED ARAB EMIRATES,430056,WUHAN,CN - CHINA,Yes,N,N,N,-,"12,528",80,-,80,4,822.61,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,DALIAN PT,CN-CHINA,1,1,1,1,0,0
922,2100537,1,1,1,FCL,FCL,2019,201907,2019/28,00:00.0,14.07.2019,Customer 353,HLCU - HAPAG-LLOYD AGENCY L.L.C,DAP,8582,DOZWIL,CH - SWITZERLAND,.,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,844",20,-,20,1,109.63,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
923,2100538,1,1,2,LCL,LCL,2019,201907,2019/28,00:00.0,13.07.2019,Customer 477,SHPT - SSC CONSOLIDATION SHIPCO,CFR,498792,SINGAPORE,SG - SINGAPORE,33166,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"2,662",3.458,-,3,0,413.56,-,-,SINGAPORE,SG-SINGAPORE,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
924,2100539,1,1,1,FCL,FCL,2019,201907,2019/29,00:00.0,17.07.2019,Customer 544,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,SN1 2HY,UNITED KINGDOM,GB - UNITED KINGDOM,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,Y,-,"7,385",20.64,-,21,1,159.71,-,-,LONDON GATEWAY PORT,GB-UNITED KINGDOM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
925,2100540,1,1,1,FCL,FCL,2019,201907,2019/28,00:00.0,13.07.2019,Customer 418,MAEU - MAERSK KANOO UAE LLC,CFR,11000,PRAHA,CZ - CZECH REPUBLIC,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"7,460",20,-,20,1,109.63,-,-,BREMERHAVEN,DE-GERMANY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
926,2100541,1,1,1,FCL,FCL,2019,201907,2019/29,00:00.0,15.07.2019,Customer 890,HLCU - HAPAG-LLOYD AGENCY L.L.C,CFR,79576,WEIL AM RHEIN,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"3,458",40,-,40,2,109.63,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
927,2100542,1,1,2,LCL,LCL,2019,201907,2019/28,00:00.0,11.07.2019,Customer 481,NAQA - VANGUARD LOGISTICS SERVICES UAE,CFR,YO61 3FA,EASINGWOLD,GB - UNITED KINGDOM,.,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"5,690",14.88,-,15,0,77.39,-,-,LONDON GATEWAY PORT,GB-UNITED KINGDOM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
